================ Training Loss (Mon Apr 11 16:27:16 2022) ================
(epoch: 1, iters: 800, time: 0.032, data: 0.493) D_A: 1.063 G_A: 1.594 cycle_A: 4.725 idt_A: 2.869 D_B: 0.537 G_B: 0.625 cycle_B: 5.595 idt_B: 2.559 
(epoch: 2, iters: 672, time: 0.032, data: 0.007) D_A: 5.130 G_A: 6.509 cycle_A: 3.251 idt_A: 1.649 D_B: 0.420 G_B: 0.559 cycle_B: 3.399 idt_B: 1.550 
(epoch: 3, iters: 544, time: 0.033, data: 0.007) D_A: 0.277 G_A: 0.454 cycle_A: 2.339 idt_A: 1.118 D_B: 0.346 G_B: 0.543 cycle_B: 2.397 idt_B: 1.077 
(epoch: 4, iters: 416, time: 0.034, data: 0.007) D_A: 0.321 G_A: 0.363 cycle_A: 1.836 idt_A: 0.915 D_B: 0.337 G_B: 0.552 cycle_B: 2.029 idt_B: 0.783 
(epoch: 5, iters: 288, time: 0.034, data: 0.007) D_A: 0.284 G_A: 0.309 cycle_A: 1.498 idt_A: 0.818 D_B: 0.277 G_B: 0.451 cycle_B: 1.898 idt_B: 0.654 
(epoch: 6, iters: 160, time: 0.035, data: 0.007) D_A: 0.273 G_A: 0.361 cycle_A: 1.318 idt_A: 0.811 D_B: 0.301 G_B: 0.468 cycle_B: 1.808 idt_B: 0.547 
(epoch: 7, iters: 32, time: 0.030, data: 0.007) D_A: 0.302 G_A: 0.358 cycle_A: 1.225 idt_A: 0.690 D_B: 0.293 G_B: 0.477 cycle_B: 1.666 idt_B: 0.510 
(epoch: 7, iters: 832, time: 0.029, data: 0.007) D_A: 0.273 G_A: 0.346 cycle_A: 1.043 idt_A: 0.648 D_B: 0.279 G_B: 0.478 cycle_B: 1.506 idt_B: 0.448 
(epoch: 8, iters: 704, time: 0.035, data: 0.008) D_A: 0.305 G_A: 0.374 cycle_A: 0.870 idt_A: 0.603 D_B: 0.301 G_B: 0.429 cycle_B: 1.433 idt_B: 0.369 
(epoch: 9, iters: 576, time: 0.034, data: 0.007) D_A: 0.252 G_A: 0.295 cycle_A: 0.930 idt_A: 0.593 D_B: 0.571 G_B: 0.783 cycle_B: 1.392 idt_B: 0.382 
(epoch: 10, iters: 448, time: 0.035, data: 0.008) D_A: 0.256 G_A: 0.313 cycle_A: 0.849 idt_A: 0.600 D_B: 0.250 G_B: 0.389 cycle_B: 1.432 idt_B: 0.361 
(epoch: 11, iters: 320, time: 0.035, data: 0.007) D_A: 0.226 G_A: 0.305 cycle_A: 0.780 idt_A: 0.515 D_B: 0.239 G_B: 0.434 cycle_B: 1.222 idt_B: 0.329 
(epoch: 12, iters: 192, time: 0.034, data: 0.008) D_A: 0.234 G_A: 0.366 cycle_A: 0.796 idt_A: 0.526 D_B: 0.234 G_B: 0.385 cycle_B: 1.258 idt_B: 0.332 
(epoch: 13, iters: 64, time: 0.035, data: 0.011) D_A: 0.237 G_A: 0.396 cycle_A: 0.800 idt_A: 0.574 D_B: 0.230 G_B: 0.398 cycle_B: 1.359 idt_B: 0.324 
(epoch: 13, iters: 864, time: 0.035, data: 0.006) D_A: 0.235 G_A: 0.298 cycle_A: 0.703 idt_A: 0.488 D_B: 0.279 G_B: 0.431 cycle_B: 1.206 idt_B: 0.311 
(epoch: 14, iters: 736, time: 0.034, data: 0.006) D_A: 0.471 G_A: 0.591 cycle_A: 0.734 idt_A: 0.503 D_B: 0.221 G_B: 0.406 cycle_B: 1.197 idt_B: 0.333 
(epoch: 15, iters: 608, time: 0.035, data: 0.008) D_A: 0.246 G_A: 0.373 cycle_A: 0.691 idt_A: 0.478 D_B: 0.315 G_B: 0.457 cycle_B: 1.099 idt_B: 0.315 
(epoch: 16, iters: 480, time: 0.035, data: 0.008) D_A: 0.222 G_A: 0.401 cycle_A: 0.711 idt_A: 0.507 D_B: 0.227 G_B: 0.396 cycle_B: 1.201 idt_B: 0.311 
